Question,Responses
How would you use AI to be more efficient in your role?,Research
How would you use AI to be more efficient in your role?,"Use it everywhere possible, build your own AI tools"
How would you use AI to be more efficient in your role?,Engagement score rating
How would you use AI to be more efficient in your role?,Competitive advantage
How would you use AI to be more efficient in your role?,Creating images on themes (ppt)
How would you use AI to be more efficient in your role?,Create new idea and creative
How would you use AI to be more efficient in your role?,Designed Use Case with ability to create a specific AI agent
How would you use AI to be more efficient in your role?,RFPs
How would you use AI to be more efficient in your role?,"Search, Summarize, Create Document, Validation"
How would you use AI to be more efficient in your role?,Upskill on product knowledge
How would you use AI to be more efficient in your role?,Competitive info
How would you use AI to be more efficient in your role?,"Compliance matrix, customer intelligence, slide preparation , mentimeter survey preperation, personal assistant"
How would you use AI to be more efficient in your role?,"AI helps to quickly extract key insights related to industry, technology and find quick answers"
How would you use AI to be more efficient in your role?,Positioning targeted sales pitches
How would you use AI to be more efficient in your role?,"Streamlining research, preparing code"
How would you use AI to be more efficient in your role?,Automate demos so we can do more strategic upskilling
How would you use AI to be more efficient in your role?,"Understand the industry, develop relevant usecases, generate slides, help develop pocs"
How would you use AI to be more efficient in your role?,Coding and custom tooling
How would you use AI to be more efficient in your role?,Competitive information
How would you use AI to be more efficient in your role?,Prompts that save me reading many documents before I know something
How would you use AI to be more efficient in your role?,RFx
How would you use AI to be more efficient in your role?,Deeper insight faster
How would you use AI to be more efficient in your role?,Adapt new industry knowledge.
How would you use AI to be more efficient in your role?,Industry Knowledge
How would you use AI to be more efficient in your role?,Competitive landscape
How would you use AI to be more efficient in your role?,RFP response
How would you use AI to be more efficient in your role?,POV prepare
How would you use AI to be more efficient in your role?,Nail specific requirements
How would you use AI to be more efficient in your role?,Research and automation
How would you use AI to be more efficient in your role?,summarize meeting notes across multiple meetings for themes
How would you use AI to be more efficient in your role?,Creating custom demo preparation
How would you use AI to be more efficient in your role?,Business process validation for demonstration flow.   RFP response.  Visualizations.
How would you use AI to be more efficient in your role?,Use for product comparison.
How would you use AI to be more efficient in your role?,Minutes and actions
How would you use AI to be more efficient in your role?,Presentation and Storytelling
How would you use AI to be more efficient in your role?,Sales enablement
How would you use AI to be more efficient in your role?,Automate TCO and ROI modeling
How would you use AI to be more efficient in your role?,Automation
How would you use AI to be more efficient in your role?,Store telling
How would you use AI to be more efficient in your role?,Knowing more about the computation
How would you use AI to be more efficient in your role?,"Focus around ROI & Value Benefits using examples and pointed values.
Industry analysis and logic"
How would you use AI to be more efficient in your role?,Competitive comparison
How would you use AI to be more efficient in your role?,Insustry specific use case discussions
How would you use AI to be more efficient in your role?,Genai that contain real life use cases related to customers
How would you use AI to be more efficient in your role?,Enhance AI as part of the offering
How would you use AI to be more efficient in your role?,Automate preliminary research and demo prep.
How would you use AI to be more efficient in your role?,Searching documents for insight
How would you use AI to be more efficient in your role?,Read our manual and install our software
How would you use AI to be more efficient in your role?,Co worer
How would you use AI to be more efficient in your role?,Knowledge enhancement
How would you use AI to be more efficient in your role?,Agents Agents Agents and more Agents
How would you use AI to be more efficient in your role?,Answer customer strange questions
How would you use AI to be more efficient in your role?,Provide customer specific inputs
How would you use AI to be more efficient in your role?,To bring detailed solution design ideas to life
How would you use AI to be more efficient in your role?,Draft responses to RFx way faster than we could
How would you use AI to be more efficient in your role?,Competitive advantage
How would you use AI to be more efficient in your role?,Automate trivial tasks
How would you use AI to be more efficient in your role?,Regex buddy
How would you use AI to be more efficient in your role?,"Gain Industry specific knowledge.
Prep DX demo artifacts like images, template etc."
How would you use AI to be more efficient in your role?,"Stop searching, start working"
How would you use AI to be more efficient in your role?,Custom configuration support
How would you use AI to be more efficient in your role?,Swot analysis
How would you use AI to be more efficient in your role?,Carefully! VERY CAREFULLY .. so that I don’t lose my edge
How would you use AI to be more efficient in your role?,Knowledge coworker
How would you use AI to be more efficient in your role?,Co pilot
How would you use AI to be more efficient in your role?,Chatgpt
How would you use AI to be more efficient in your role?,aviator - copilot
How would you use AI to be more efficient in your role?,my aviator
How would you use AI to be more efficient in your role?,Copilot and my aviator
How would you use AI to be more efficient in your role?,"Copilot, chatgpt"
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,Chat_gpt
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Aviator
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,cursor
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Ollie_Ai
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Claude
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,Proposal
What AI Tools do you currently use to help you in your role?,My_Aviator
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Co_pilot_and_Claude
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Gemini_Groc_chatgpt
What AI Tools do you currently use to help you in your role?,copilot
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,OpenText_Aviator_AI
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,I_never_use
What AI Tools do you currently use to help you in your role?,Co_pilot
What AI Tools do you currently use to help you in your role?,Chat_gpt
What AI Tools do you currently use to help you in your role?,Ollieai
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,Grammerly
What AI Tools do you currently use to help you in your role?,ChatGpt
What AI Tools do you currently use to help you in your role?,OllieAI
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,ChatGPT_and_Copilot
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Claude
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Grok_mermaidcharts
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,Aviator_and_GPT
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,copilot
What AI Tools do you currently use to help you in your role?,Aviator
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,MyAviator
What AI Tools do you currently use to help you in your role?,Gemini_Pro
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,Copilot_ms365
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,Aviator
What AI Tools do you currently use to help you in your role?,Aviator
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Ollie_AI
What AI Tools do you currently use to help you in your role?,Grok
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,DeepSeek
What AI Tools do you currently use to help you in your role?,OlliAI
What AI Tools do you currently use to help you in your role?,Meta
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,copilot_and_llama
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Chat_gpt
What AI Tools do you currently use to help you in your role?,CoPilot_Aviator
What AI Tools do you currently use to help you in your role?,Content_Aviator
What AI Tools do you currently use to help you in your role?,Copilot_ollie
What AI Tools do you currently use to help you in your role?,Aviator_Gemini_Chatgpt
What AI Tools do you currently use to help you in your role?,chatgpt
What AI Tools do you currently use to help you in your role?,Gemini_copilot_chatGPT
What AI Tools do you currently use to help you in your role?,Custom_build_AI_tool
What AI Tools do you currently use to help you in your role?,Copilot_Ollie_and_Aviator
What AI Tools do you currently use to help you in your role?,Ollie_Chat_GPT_GeminiDeep
What AI Tools do you currently use to help you in your role?,Aviator
What AI Tools do you currently use to help you in your role?,chatgpt
What AI Tools do you currently use to help you in your role?,chatgpt
What AI Tools do you currently use to help you in your role?,My_Aviator
What AI Tools do you currently use to help you in your role?,Perplexity
What AI Tools do you currently use to help you in your role?,Aviator
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Aviator
What AI Tools do you currently use to help you in your role?,Gemini_and_OllieAI
What AI Tools do you currently use to help you in your role?,Copilot_chatgpt_canva
What AI Tools do you currently use to help you in your role?,ollieai
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,Bolt_AI
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Aviator
What AI Tools do you currently use to help you in your role?,Grok
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,Perplexity_Ai
What AI Tools do you currently use to help you in your role?,Myaviator_chatgpt_Gamma
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Ollie
What AI Tools do you currently use to help you in your role?,Aviator_and_chat_gpt
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,Aviator_ChatGPT_Napkin_Ai
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,Grok
What AI Tools do you currently use to help you in your role?,Gemini_My_Aviator_copilot
What AI Tools do you currently use to help you in your role?,Aviator
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,Napkin
What AI Tools do you currently use to help you in your role?,chatgpt_gemini_copilot_av
What AI Tools do you currently use to help you in your role?,Claude
What AI Tools do you currently use to help you in your role?,anythingllm
What AI Tools do you currently use to help you in your role?,perplexity
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,aviator
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,NotebookLLM
What AI Tools do you currently use to help you in your role?,All
What AI Tools do you currently use to help you in your role?,Llama
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Aviator_chatgpt_copilot
What AI Tools do you currently use to help you in your role?,Optimus
What AI Tools do you currently use to help you in your role?,aviator
What AI Tools do you currently use to help you in your role?,Deepseek
What AI Tools do you currently use to help you in your role?,Napkin
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,CoPilot
What AI Tools do you currently use to help you in your role?,Napkin
What AI Tools do you currently use to help you in your role?,Copilot_Ollie_AI_ChatGpt
What AI Tools do you currently use to help you in your role?,Chat_got_and_peflexity
What AI Tools do you currently use to help you in your role?,Claude
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,grok
What AI Tools do you currently use to help you in your role?,Napkin
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,ChatGPT
What AI Tools do you currently use to help you in your role?,Kimi_Qwen_Cursor_Deep_Res
What AI Tools do you currently use to help you in your role?,Perplexity
What AI Tools do you currently use to help you in your role?,Chatgpt
What AI Tools do you currently use to help you in your role?,Copilot
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,Gamma
What AI Tools do you currently use to help you in your role?,GPT4all_in_MacOS
What AI Tools do you currently use to help you in your role?,Napkin_Ai
What AI Tools do you currently use to help you in your role?,Gemini
What AI Tools do you currently use to help you in your role?,Gamma
What AI Tools do you currently use to help you in your role?,Claude
What AI Tools do you currently use to help you in your role?,Crystal
What AI Tools do you currently use to help you in your role?,OpenAI
What AI Tools do you currently use to help you in your role?,Gemimi
What AI Tools do you currently use to help you in your role?,Gamma
What AI Tools do you currently use to help you in your role?,proposal_to_customers
What AI Tools do you currently use to help you in your role?,aviator
What AI Tools do you currently use to help you in your role?,Aviator
What AI Tools do you currently use to help you in your role?,NOT_aviator
What AI Tools do you currently use to help you in your role?,DeepSeek
What AI Tools do you currently use to help you in your role?,Aviator
What AI Tools do you currently use to help you in your role?,aViator
What AI Tools do you currently use to help you in your role?,Ollie_Ai
What AI Tools do you currently use to help you in your role?,Hacking_buddygpt
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Customer Story
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Targeted use cases
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Quantify Business Impact
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,We should be even more informed on what’s out there
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,AI
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Value proposition
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Interactive demo with interactive discussion
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Advanced storytelling with actual customer use cases
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,"personalized, outcome-focused experiences"
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Understand the business and link with customer need as use case
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,"Lead with Insight, Not Slides"
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Deal qualification
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Listen more..
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Storytelling
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,We need to empathize with the pain of the customer.
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Relatable stories
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Show understanding of their industry and tech to solve their problems
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Real life use cases
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,"Industry use cases , OT needs to maintain demo scripts ready to use based on customer industry"
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,"Research the customer better, to be able to present/demon something that resonates"
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Focus on the customer's needs and pain
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Leveraging AI for custom Value Selling
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,industy specific use case
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Personalize insights and prove outcomes
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Quality Demo and value
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Focus on pain points and automation
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Understanding of the customer
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Customer needs have changed with AI and we need to adapt to these
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,leverage AI to build innovative relevant solution
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,By showing the unique and useful our solution values to them
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Personalize Every Demonstration
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Understand Customers Painpoints
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Speak from position of experience coming from other customers
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,"Be more close to the customer's needs and requirements, that will help better articulate the value proposition"
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Tackle real customer pains and challenges..
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Integrations
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Storyselling
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,demonstrating measurable business impact
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Understand what customer actually need
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Using AI in better understanding the industry and how we can help solve their challenges
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Storytelling
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Improve our understanding of their business
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,"Lead with Insights, Not Information"
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Industry specific use cases
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Story telling
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,real use cases
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,show cross SaaS platform integrations to mimic real life.
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Quantify and Visualize Business Outcomes
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Storytelling
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Use marketing research tools to understand what the customer has looked at
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Demo advanced usecases
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Personalize Every Engagement
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Think business and value selling
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Demonstrate Integration and Simplicity
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Industry expertise and success stories
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,To validate or challenge customers ideas and business needs
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Active listening
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Identifying compelling events
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Customer use cases
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,we need to know more about their business and how we can help them with our technology
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Focussing on customer’s pain areas
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Target industry story
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Storytelling
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Showing advantage of our product
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Better Insight to competitors
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Unify pillars value story
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Become more aware of the customer's challenges
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,We need to enable the channel.  We also need to provide customers with a hands on experience independent of presales.
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Storytelling
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,To demo use case in their situation.
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Relate back to real use case and advise on industry practice.
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Business understanding
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Use cases more than expected
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Value qualification
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Outcome n results
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Knowing what customer wants
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Understand the outcome that customer is hoping
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Make their solutioning and strategy easier by giving insights and market research
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Ask more questions
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Outcome
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,understand their industry and needs.
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Embed customer’s business value drivers into the demo
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Customer intimacy
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,showcasing business value
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Understanding painpoints
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Customer business cases
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Create live demo for customer envireonment
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,applying ROI as part of demos
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Tailor Interactions
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,"Deal qualification to know more, sales to stop only sharing meeting requests"
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,storyboard
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Real Use cases
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Augmented reality to one of opentext briefing centers
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Use teams & departments appropriately + stand infront of the customer more + makenit more rewarding for presales team member when they do large deals
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Be an advisor not only a sales person
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Listening more
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Proper Discovery and then covering those areas in a live industry demo
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Customer priority
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Proposition
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Use cases
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Be the Trusted advisor
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Unified value message
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Technical enablement
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Story telling
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Innovative usecases
The Buyer's Experience: Our customers are more informed  than ever. How should our team evolve the way we demonstrate value to our customers? ,Innovation
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Good shape
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Technical win
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Customer Trust and Advocacy
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Understanding customer business and pain areas
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Being a trusted consultant
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Skills enhancement
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Customer ventric
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?","Strong alignment with all sales teams (PS,sales, TM, etc)"
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Assets created
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Persistence
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Customer testimonies
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Customer obsession
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Innovation
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?","True solve of customer problem post implementation 
Solving real problem"
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Better cross sales / upsell . Managing existing install
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Matching the speed of the sales cycle.
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",relationship
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Branding
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Knowledge
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Customer intimacy
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",innovative solution development
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Re-Usable sales success stories
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Customer Satisfaction
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Equivalent recognition and compensation as sales
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?","Customer viewing us as a trusted advisor, not a sales enabler."
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Customer confidence
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Customer getting back
"What key outcomes should define success for Presales of the future, beyond technical wins and closed deals?",Significant impact on product direction
